DayOfWeek,DepTime,TaxiOut,DepTime_Min
4,1908.0,21.0,1148.0
4,1406.0,18.0,846.0
4,1311.0,25.0,791.0
4,1051.0,32.0,651.0
4,1813.0,53.0,1093.0
4,847.0,31.0,527.0
4,1307.0,24.0,787.0
4,1240.0,23.0,760.0
4,1406.0,22.0,846.0
4,554.0,25.0,354.0
4,2009.0,37.0,1209.0
4,909.0,30.0,549.0
4,1547.0,20.0,947.0
4,847.0,26.0,527.0
4,855.0,24.0,535.0
4,908.0,43.0,548.0
4,1814.0,22.0,1094.0
4,1532.0,22.0,932.0
4,709.0,21.0,429.0
4,1302.0,21.0,782.0
4,2005.0,41.0,1205.0
4,1230.0,49.0,750.0
4,1658.0,24.0,1018.0
4,837.0,16.0,517.0
4,1045.0,24.0,645.0
4,1416.0,22.0,856.0
4,2135.0,15.0,1295.0
4,2101.0,21.0,1261.0
4,950.0,29.0,590.0
4,1809.0,33.0,1089.0
4,2015.0,24.0,1215.0
4,1240.0,24.0,760.0
4,1957.0,31.0,1197.0
4,1432.0,32.0,872.0
4,1553.0,24.0,953.0
4,1607.0,23.0,967.0
4,731.0,22.0,451.0
4,1033.0,22.0,633.0
4,658.0,22.0,418.0
4,1408.0,18.0,848.0
4,1055.0,27.0,655.0
4,538.0,21.0,338.0
4,1816.0,24.0,1096.0
4,2004.0,31.0,1204.0
4,1622.0,24.0,982.0
4,1241.0,17.0,761.0
4,913.0,22.0,553.0
4,1316.0,26.0,796.0
4,847.0,63.0,527.0
4,1253.0,24.0,773.0
4,1047.0,18.0,647.0
4,2001.0,33.0,1201.0
4,1059.0,25.0,659.0
4,1535.0,23.0,935.0
4,1957.0,18.0,1197.0
4,1040.0,29.0,640.0
4,1442.0,24.0,882.0
4,1420.0,21.0,860.0
4,1105.0,27.0,665.0
4,917.0,44.0,557.0
4,1935.0,40.0,1175.0
4,1941.0,85.0,1181.0
4,852.0,36.0,532.0
4,1827.0,38.0,1107.0
4,1302.0,25.0,782.0
4,1827.0,39.0,1107.0
4,717.0,16.0,437.0
4,907.0,39.0,547.0
4,1845.0,49.0,1125.0
4,1040.0,20.0,640.0
4,2038.0,27.0,1238.0
4,917.0,34.0,557.0
3,1752.0,63.0,1072.0
3,723.0,15.0,443.0
3,1858.0,27.0,1138.0
3,1100.0,25.0,660.0
3,1257.0,28.0,777.0
3,1817.0,41.0,1097.0
3,1243.0,24.0,763.0
3,1617.0,19.0,977.0
3,1059.0,24.0,659.0
3,1628.0,24.0,988.0
3,1035.0,15.0,635.0
3,1427.0,15.0,867.0
3,2016.0,23.0,1216.0
3,1402.0,20.0,842.0
3,1608.0,21.0,968.0
3,1255.0,32.0,775.0
3,2010.0,27.0,1210.0
3,1808.0,33.0,1088.0
3,1040.0,18.0,640.0
3,1851.0,23.0,1131.0
3,1758.0,21.0,1078.0
3,1729.0,20.0,1049.0
3,1951.0,27.0,1191.0
3,853.0,19.0,533.0
3,1122.0,14.0,682.0
3,903.0,24.0,543.0
3,1252.0,26.0,772.0
3,1431.0,18.0,871.0
3,1637.0,21.0,997.0
3,1428.0,33.0,868.0
3,856.0,18.0,536.0
3,900.0,26.0,540.0
3,1424.0,34.0,864.0
3,1534.0,40.0,934.0
3,1244.0,24.0,764.0
3,908.0,43.0,548.0
3,712.0,21.0,432.0
3,1159.0,24.0,719.0
3,1103.0,88.0,663.0
3,1949.0,29.0,1189.0
3,1956.0,25.0,1196.0
3,710.0,21.0,430.0
3,927.0,19.0,567.0
3,1958.0,36.0,1198.0
3,1013.0,20.0,613.0
3,1556.0,24.0,956.0
3,1102.0,26.0,662.0
3,1251.0,23.0,771.0
3,1820.0,31.0,1100.0
3,907.0,22.0,547.0
3,1115.0,23.0,675.0
3,1804.0,33.0,1084.0
3,2008.0,35.0,1208.0
3,933.0,19.0,573.0
3,1621.0,34.0,981.0
3,1721.0,19.0,1041.0
3,1046.0,17.0,646.0
3,1421.0,86.0,861.0
3,1803.0,24.0,1083.0
3,1019.0,13.0,619.0
3,1416.0,19.0,856.0
3,1115.0,20.0,675.0
3,1545.0,18.0,945.0
3,848.0,19.0,528.0
3,1553.0,18.0,953.0
3,755.0,29.0,475.0
3,1044.0,21.0,644.0
3,725.0,21.0,445.0
3,1646.0,20.0,1006.0
3,950.0,19.0,590.0
7,851.0,23.0,531.0
7,842.0,18.0,522.0
7,1830.0,80.0,1110.0
7,1814.0,88.0,1094.0
7,918.0,27.0,558.0
7,706.0,25.0,426.0
7,1045.0,18.0,645.0
7,1851.0,33.0,1131.0
7,1050.0,19.0,650.0
7,1351.0,15.0,831.0
7,1111.0,95.0,671.0
7,1639.0,35.0,999.0
7,2051.0,37.0,1251.0
7,1907.0,66.0,1147.0
7,558.0,22.0,358.0
7,1443.0,24.0,883.0
7,2006.0,36.0,1206.0
7,1105.0,21.0,665.0
7,1451.0,38.0,891.0
7,851.0,35.0,531.0
7,2039.0,31.0,1239.0
7,1322.0,22.0,802.0
7,558.0,24.0,358.0
7,1426.0,21.0,866.0
7,1922.0,31.0,1162.0
7,1449.0,23.0,889.0
7,1045.0,19.0,645.0
7,707.0,16.0,427.0
7,1831.0,59.0,1111.0
7,857.0,32.0,537.0
7,1847.0,41.0,1127.0
7,1402.0,28.0,842.0
7,1820.0,38.0,1100.0
7,1039.0,23.0,639.0
7,657.0,26.0,417.0
7,727.0,18.0,447.0
7,912.0,21.0,552.0
7,1806.0,76.0,1086.0
7,2028.0,29.0,1228.0
7,757.0,22.0,477.0
7,1101.0,27.0,661.0
7,1404.0,20.0,844.0
7,1815.0,32.0,1095.0
7,1400.0,22.0,840.0
7,857.0,27.0,537.0
7,1429.0,19.0,869.0
7,1612.0,25.0,972.0
7,2102.0,28.0,1262.0
7,1632.0,37.0,992.0
7,1057.0,25.0,657.0
7,1356.0,22.0,836.0
7,904.0,21.0,544.0
7,2022.0,33.0,1222.0
7,704.0,27.0,424.0
7,1341.0,20.0,821.0
7,733.0,24.0,453.0
7,1058.0,22.0,658.0
7,1831.0,25.0,1111.0
7,1415.0,19.0,855.0
7,1258.0,34.0,778.0
7,1053.0,18.0,653.0
7,1927.0,32.0,1167.0
7,849.0,23.0,529.0
7,1243.0,22.0,763.0
7,1401.0,26.0,841.0
7,551.0,17.0,351.0
7,2058.0,21.0,1258.0
7,1641.0,32.0,1001.0
7,914.0,22.0,554.0
7,1544.0,56.0,944.0
7,844.0,23.0,524.0
7,901.0,27.0,541.0
7,953.0,57.0,593.0
7,1819.0,109.0,1099.0
7,1551.0,17.0,951.0
7,657.0,24.0,417.0
7,1310.0,23.0,790.0
7,2013.0,23.0,1213.0
7,1233.0,16.0,753.0
7,1701.0,24.0,1021.0
7,1303.0,24.0,783.0
7,854.0,20.0,534.0
7,1037.0,20.0,637.0
7,1449.0,18.0,889.0
7,2134.0,23.0,1294.0
7,900.0,27.0,540.0
7,1814.0,35.0,1094.0
7,2044.0,24.0,1244.0
7,1242.0,14.0,762.0
7,2028.0,35.0,1228.0
7,1434.0,13.0,874.0
7,1400.0,15.0,840.0
7,1720.0,20.0,1040.0
7,729.0,14.0,449.0
7,1032.0,17.0,632.0
7,709.0,19.0,429.0
7,1244.0,18.0,764.0
7,1221.0,30.0,741.0
7,538.0,20.0,338.0
7,1857.0,24.0,1137.0
7,2054.0,23.0,1254.0
7,1626.0,28.0,986.0
7,1232.0,18.0,752.0
7,906.0,16.0,546.0
7,1252.0,17.0,772.0
7,849.0,43.0,529.0
7,1319.0,27.0,799.0
7,1104.0,21.0,664.0
7,2217.0,44.0,1337.0
7,1102.0,28.0,662.0
7,2006.0,42.0,1206.0
7,1100.0,27.0,660.0
7,1445.0,21.0,885.0
7,1457.0,19.0,897.0
7,1106.0,32.0,666.0
7,921.0,26.0,561.0
7,2025.0,35.0,1225.0
7,2007.0,31.0,1207.0
7,852.0,20.0,532.0
7,1901.0,29.0,1141.0
7,1256.0,21.0,776.0
